pnr,gender,pregnant,age,date,time,preference
4659,F,1,39,2020-02-01,13:05,L
3170,F,1,40,2020-01-28,13:05,SU
6795,M,0,21,2020-02-28,13:05,SL
4330,M,0,36,2020-02-28,13:05,M
1248,F,1,23,2020-02-24,13:05,M
9842,M,0,73,2020-02-18,13:05,M
9974,F,0,35,2020-01-09,13:05,SL
6600,M,0,80,2020-01-15,13:05,M
9647,M,0,79,2020-02-12,13:05,L
7550,M,0,57,2020-01-05,13:05,L
9433,F,1,42,2020-02-05,13:05,SL
3747,F,1,45,2020-01-09,13:05,M
1538,M,0,18,2020-01-07,13:05,SU
1176,F,1,36,2020-02-01,13:05,M
7055,M,0,79,2020-01-24,13:05,M
4679,F,1,41,2020-02-26,13:05,L
2008,F,1,50,2020-01-16,13:05,L
5193,F,0,10,2020-02-04,13:05,SU
3267,F,0,23,2020-02-17,13:05,SU
2068,M,0,50,2020-02-19,13:05,SL
9001,F,0,77,2020-01-17,13:05,SL
4809,M,0,57,2020-02-22,13:05,SL
7020,M,0,18,2020-01-06,13:05,L
8647,F,0,43,2020-01-16,13:05,SL
3573,F,1,50,2020-01-23,13:05,L
7359,M,0,75,2020-02-18,13:05,M
2336,F,0,32,2020-02-12,13:05,SL
9502,M,0,69,2020-01-05,13:05,L
7348,M,0,65,2020-02-17,13:05,M
6783,F,1,40,2020-02-28,13:05,SU
3238,F,1,26,2020-02-08,13:05,SU
4478,M,0,10,2020-02-16,13:05,L
6946,F,1,32,2020-01-01,13:05,SL
8089,M,0,52,2020-02-06,13:05,M
2667,F,1,48,2020-01-03,13:05,L
8854,M,0,32,2020-01-14,13:05,U
4563,M,0,37,2020-02-03,13:05,L
3179,M,0,16,2020-02-18,13:05,SL
1600,M,0,26,2020-02-28,13:05,SU
8848,M,0,37,2020-01-28,13:05,L
3892,M,0,10,2020-01-27,13:05,M
1950,M,0,75,2020-01-06,13:05,SU
1790,M,0,32,2020-01-08,13:05,SL
1097,F,1,30,2020-01-06,13:05,L
9980,F,1,42,2020-02-04,13:05,L
8330,F,1,20,2020-02-09,13:05,M
6186,M,0,30,2020-02-11,13:05,U
7578,F,1,44,2020-02-21,13:05,SL
5745,F,0,36,2020-02-17,13:05,SL
3333,F,0,46,2020-01-17,13:05,M
1521,M,0,12,2020-01-15,13:05,U
7046,M,0,31,2020-01-24,13:05,SL
8631,F,0,10,2020-02-02,13:05,SL
4403,M,0,46,2020-01-07,13:05,M
3496,F,0,40,2020-01-18,13:05,SU
1956,M,0,23,2020-01-18,13:05,U
7962,M,0,41,2020-01-19,13:05,L
3983,F,0,30,2020-02-22,13:05,L
8889,M,0,40,2020-02-06,13:05,L
2489,M,0,21,2020-01-08,13:05,SL
4594,M,0,48,2020-01-06,13:05,U
3949,F,0,72,2020-01-05,13:05,SU
4486,M,0,26,2020-01-28,13:05,U
5324,M,0,6,2020-01-05,13:05,SU
8404,M,0,13,2020-02-20,13:05,U
4720,F,0,12,2020-02-18,13:05,M
6532,F,1,27,2020-01-06,13:05,U
7583,M,0,61,2020-01-24,13:05,M
3780,M,0,11,2020-01-15,13:05,SU
9932,M,0,65,2020-02-15,13:05,U
7070,F,0,65,2020-01-03,13:05,L
1417,M,0,78,2020-02-10,13:05,M
8579,F,1,30,2020-02-10,13:05,M
4870,M,0,21,2020-02-25,13:05,SU
7772,M,0,9,2020-01-03,13:05,SU
7665,F,0,29,2020-01-20,13:05,SL
4972,F,0,22,2020-01-18,13:05,L
5283,F,0,13,2020-02-24,13:05,L
9666,F,0,40,2020-01-04,13:05,M
2660,M,0,63,2020-01-21,13:05,U
9881,M,0,25,2020-02-21,13:05,SU
2186,M,0,71,2020-02-12,13:05,SL
6210,M,0,31,2020-02-01,13:05,SU
3081,M,0,77,2020-01-07,13:05,L
3435,M,0,51,2020-02-26,13:05,L
2274,F,1,21,2020-02-23,13:05,M
9041,M,0,75,2020-01-17,13:05,L
5843,M,0,64,2020-02-10,13:05,SL
6021,F,0,9,2020-01-13,13:05,SL
1906,M,0,7,2020-01-15,13:05,SU
7781,M,0,22,2020-01-27,13:05,L
8670,F,0,16,2020-01-17,13:05,M
2852,F,0,55,2020-02-26,13:05,M
9026,F,1,20,2020-01-28,13:05,SL
6142,F,0,60,2020-01-03,13:05,SU
7147,F,0,18,2020-01-16,13:05,U
5527,F,0,64,2020-02-02,13:05,U
6121,F,1,37,2020-01-15,13:05,L
9826,M,0,51,2020-01-13,13:05,U
2002,F,0,62,2020-02-26,13:05,SL
4361,M,0,12,2020-01-17,13:05,L
3698,M,0,39,2020-02-19,13:05,L
4697,M,0,79,2020-02-28,13:05,SU
3468,M,0,31,2020-02-25,13:05,SU
6400,F,1,50,2020-02-17,13:05,U
3730,F,0,57,2020-01-09,13:05,L
2918,F,1,26,2020-01-22,13:05,U
6295,M,0,49,2020-01-06,13:05,M
2212,F,0,74,2020-01-04,13:05,M
8391,M,0,53,2020-01-05,13:05,L
2907,M,0,16,2020-01-18,13:05,M
3406,F,1,33,2020-01-12,13:05,M
2971,F,0,30,2020-02-13,13:05,SU
3223,M,0,57,2020-02-12,13:05,SL
4274,F,1,44,2020-01-01,13:05,SL
1694,M,0,10,2020-01-12,13:05,M
5710,F,1,48,2020-02-03,13:05,SL
2651,M,0,68,2020-02-14,13:05,SU
7965,F,1,43,2020-02-08,13:05,L
9462,F,0,66,2020-02-11,13:05,L
9356,F,0,11,2020-01-16,13:05,L
8349,F,1,28,2020-01-09,13:05,U
3817,F,0,29,2020-02-07,13:05,L
9814,M,0,19,2020-02-26,13:05,L
1612,M,0,78,2020-01-07,13:05,M
2447,F,0,48,2020-02-13,13:05,U
4518,M,0,79,2020-02-01,13:05,SL
6597,M,0,45,2020-02-19,13:05,SU
7546,M,0,14,2020-02-26,13:05,SU
8565,M,0,40,2020-01-20,13:05,SL
4821,F,1,47,2020-01-10,13:05,SU
2711,F,0,35,2020-01-03,13:05,SL
7794,F,0,10,2020-02-28,13:05,L
3608,F,0,27,2020-02-03,13:05,M
5194,F,1,39,2020-02-17,13:05,SU
6617,M,0,36,2020-02-01,13:05,M
2183,F,0,66,2020-02-19,13:05,SU
9561,M,0,55,2020-02-10,13:05,SU
8646,F,0,18,2020-02-13,13:05,M
1477,F,0,76,2020-01-09,13:05,SU
2533,M,0,27,2020-01-11,13:05,SL
7393,F,0,61,2020-01-28,13:05,U
8533,F,0,60,2020-02-08,13:05,L
9953,M,0,28,2020-01-03,13:05,SL
5199,M,0,33,2020-02-23,13:05,SU
2567,M,0,34,2020-01-02,13:05,U
1104,M,0,18,2020-02-17,13:05,SL
3932,F,1,21,2020-02-28,13:05,M
3206,M,0,33,2020-01-23,13:05,SU
8499,F,1,35,2020-02-20,13:05,L
2634,M,0,76,2020-02-15,13:05,U
3870,F,0,10,2020-01-09,13:05,U
6960,F,0,40,2020-01-04,13:05,L
9488,F,1,46,2020-02-21,13:05,M
8800,F,0,37,2020-02-10,13:05,M
2349,M,0,12,2020-01-07,13:05,M
9316,M,0,38,2020-02-20,13:05,U
5135,F,0,30,2020-02-27,13:05,SL
2969,F,0,28,2020-01-13,13:05,L
6371,M,0,10,2020-02-12,13:05,SU
3230,M,0,12,2020-02-18,13:05,U
7899,F,0,64,2020-02-07,13:05,SL
1810,F,1,50,2020-01-14,13:05,M
5749,M,0,17,2020-01-28,13:05,U
5679,F,1,41,2020-02-09,13:05,M
7317,F,1,34,2020-01-09,13:05,SL
3320,F,1,42,2020-01-17,13:05,M
7839,M,0,33,2020-01-20,13:05,L
4526,F,0,18,2020-02-15,13:05,M
6791,M,0,60,2020-02-20,13:05,SU
7427,M,0,66,2020-01-01,13:05,L
6718,F,0,48,2020-02-01,13:05,SU
2830,F,0,41,2020-02-23,13:05,SU
7329,F,0,18,2020-02-20,13:05,SL
8916,M,0,34,2020-01-21,13:05,SU
4713,M,0,19,2020-02-13,13:05,U
6947,M,0,44,2020-01-18,13:05,U
6498,M,0,44,2020-01-08,13:05,SU
2847,M,0,19,2020-02-23,13:05,L
7327,M,0,28,2020-02-08,13:05,SU
9200,F,0,42,2020-01-13,13:05,U
8529,F,1,43,2020-02-22,13:05,SL
8746,M,0,38,2020-02-21,13:05,SL
7335,F,1,38,2020-02-15,13:05,SL
2658,F,1,49,2020-02-28,13:05,U
6936,M,0,77,2020-01-22,13:05,L
2611,F,1,27,2020-02-15,13:05,SL
5948,F,0,19,2020-01-19,13:05,L
6336,F,0,73,2020-01-27,13:05,SL
5140,M,0,28,2020-01-16,13:05,M
9229,M,0,76,2020-02-01,13:05,U
9651,F,0,8,2020-02-12,13:05,M
7061,F,1,41,2020-01-27,13:05,SU
2599,F,0,79,2020-01-08,13:05,M
9492,F,0,21,2020-01-26,13:05,SL
4601,M,0,28,2020-02-24,13:05,U
4260,F,1,26,2020-01-18,13:05,L
5068,F,1,42,2020-02-02,13:05,L
7479,M,0,32,2020-01-11,13:05,SL
8501,M,0,11,2020-01-16,13:05,M
2704,M,0,21,2020-01-11,13:05,M
6840,M,0,61,2020-01-26,13:05,M
5308,F,1,45,2020-02-22,13:05,SU
2023,F,0,15,2020-02-21,13:05,M
9450,F,0,50,2020-01-19,13:05,M
4206,M,0,24,2020-01-22,13:05,U
1657,M,0,8,2020-01-10,13:05,SL
2797,F,1,39,2020-02-22,13:05,SU
7173,M,0,58,2020-01-03,13:05,U
4171,F,0,51,2020-02-15,13:05,SU
8927,M,0,23,2020-02-23,13:05,SU
8767,F,0,71,2020-02-23,13:05,M
4212,M,0,25,2020-02-14,13:05,L
6471,F,0,30,2020-02-09,13:05,L
7340,F,0,33,2020-02-01,13:05,L
2897,M,0,79,2020-02-17,13:05,M
5348,M,0,19,2020-01-19,13:05,U
